Running ./shock1d.py

Starting from step 0
--------------------------------------------------------------------------
By default, for Open MPI 4.0 and later, infiniband ports on a device
are not used by default.  The intent is to use UCX for these devices.
You can override this policy by setting the btl_openib_allow_ib MCA parameter
to true.

  Local host:              lassen801
  Local adapter:           mlx5_1
  Local port:              1

--------------------------------------------------------------------------
--------------------------------------------------------------------------
WARNING: There was an error initializing an OpenFabrics device.

  Local host:   lassen801
  Local device: mlx5_1
--------------------------------------------------------------------------
[lassen801:162898] mca_base_component_repository_open: unable to open mca_pml_pami: libpami.so.3: cannot open shared object file: No such file or directory (ignored)
[1612558629.381319] [lassen801:162898:0]         mxm.c:196  MXM  WARN  The 'ulimit -s' on the system is set to 'unlimited'. This may have negative performance implications. Please set the stack size to the default value (10240) 
[lassen801:162898] mca_base_component_repository_open: unable to open mca_coll_ibm: libcollectives.so.3: cannot open shared object file: No such file or directory (ignored)
[lassen801:162898] mca_base_component_repository_open: unable to open mca_osc_pami: libpami.so.3: cannot open shared object file: No such file or directory (ignored)
Shock capturing parameters: alpha 0.025, s0 -11.0, kappa 0.5
Time step estimate 4.2819136230110855e-07

Viscous timestep estimate 3.8068759989956474e-07

4482 elements
rank 0: sent all mesh partitions
Making discretization
Initializing soln.
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:289: UserWarning: Logging had to guess units for 'pressure': 'Pa'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:289: UserWarning: Logging had to guess units for 'temperature': 'K'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'mass': 'kg/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'energy': 'J/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
/p/gpfs1/manders/work/CEESD/Drivers/CEESD-Y1_Shock1D/emirge/mirgecom/mirgecom/logging_quantities.py:244: UserWarning: Logging had to guess units for 'momentum': 'kg*m/s/m^3'.It should not have to. Some other component should tell it.
  warn(f"Logging had to guess units for '{quantity}': '{unit}'."
./shock1d.py:330: DeprecationWarning: DGDiscretizationWithBoundaries.order is deprecated, consider using the orders of element groups instead. 'order' will go away in 2021.
  visualizer = make_visualizer(discr, discr.order)
Initialization for Case(y0euler)
===
Num 2d order-1 elements: 4482
Num global elements: 4482
Timestep:        2.5e-07
Final time:      0.0003
CFL:             1.0
Constant CFL:    False
Initialization:  pseudoY0
EOS:             IdealSingleGas

Stepping.
Status: step=0 t=0
------- P(100, 438)
------- T(298, 450)
------- dt=2.5e-07 cfl=1.0
------- errors=0.00165, 793, 1.13, 0
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
building face restriction: start
building face restriction: done
step.max=0 | t_sim.max=0 | t_step.max=4.3546 | min_pressure=0 | max_pressure=0 | min_temperature=0 | max_temperature=0 | memory_usage.max=833.188
step.max=292 | t_sim.max=7.3e-05 | t_step.max=1.09527 | min_pressure=85.2109 | max_pressure=485.57 | min_temperature=254.461 | max_temperature=460.523 | memory_usage.max=1365.62
step.max=293 | t_sim.max=7.325e-05 | t_step.max=1.09497 | min_pressure=97.4084 | max_pressure=485.563 | min_temperature=282.8 | max_temperature=460.518 | memory_usage.max=1365.62
step.max=294 | t_sim.max=7.35e-05 | t_step.max=1.09566 | min_pressure=89.2204 | max_pressure=485.556 | min_temperature=282.717 | max_temperature=460.513 | memory_usage.max=1369.75
step.max=295 | t_sim.max=7.375e-05 | t_step.max=1.0953 | min_pressure=79.7304 | max_pressure=485.549 | min_temperature=266.012 | max_temperature=460.509 | memory_usage.max=1369.75
step.max=296 | t_sim.max=7.4e-05 | t_step.max=1.09646 | min_pressure=70.4546 | max_pressure=485.542 | min_temperature=245.481 | max_temperature=460.504 | memory_usage.max=1371.81
step.max=297 | t_sim.max=7.425e-05 | t_step.max=1.09628 | min_pressure=63.7551 | max_pressure=485.535 | min_temperature=226.944 | max_temperature=460.499 | memory_usage.max=1371.81
step.max=298 | t_sim.max=7.45e-05 | t_step.max=1.09584 | min_pressure=62.282 | max_pressure=485.528 | min_temperature=218.826 | max_temperature=460.495 | memory_usage.max=1375.62
step.max=299 | t_sim.max=7.475e-05 | t_step.max=1.09625 | min_pressure=68.0991 | max_pressure=485.521 | min_temperature=226.723 | max_temperature=460.49 | memory_usage.max=1375.62
step.max=300 | t_sim.max=7.5e-05 | t_step.max=1.21237 | min_pressure=82.079 | max_pressure=485.514 | min_temperature=249.229 | max_temperature=460.486 | memory_usage.max=1375.62
step.max=301 | t_sim.max=7.525e-05 | t_step.max=1.11029 | min_pressure=96.3561 | max_pressure=485.506 | min_temperature=280.584 | max_temperature=460.481 | memory_usage.max=1384.62
step.max=302 | t_sim.max=7.55e-05 | t_step.max=1.09545 | min_pressure=87.6047 | max_pressure=485.499 | min_temperature=280.772 | max_temperature=460.477 | memory_usage.max=1387.56
step.max=303 | t_sim.max=7.575e-05 | t_step.max=1.10303 | min_pressure=77.3918 | max_pressure=485.492 | min_temperature=262.262 | max_temperature=460.472 | memory_usage.max=1387.56
step.max=304 | t_sim.max=7.6e-05 | t_step.max=1.09635 | min_pressure=67.3841 | max_pressure=485.484 | min_temperature=239.348 | max_temperature=460.468 | memory_usage.max=1388.44
step.max=305 | t_sim.max=7.625e-05 | t_step.max=1.09577 | min_pressure=60.2001 | max_pressure=485.477 | min_temperature=218.843 | max_temperature=460.464 | memory_usage.max=1389.62
step.max=306 | t_sim.max=7.65e-05 | t_step.max=1.0958 | min_pressure=58.7416 | max_pressure=485.469 | min_temperature=210.508 | max_temperature=460.459 | memory_usage.max=1389.62
step.max=307 | t_sim.max=7.675e-05 | t_step.max=1.09542 | min_pressure=65.1874 | max_pressure=485.461 | min_temperature=220.384 | max_temperature=460.455 | memory_usage.max=1392.88
step.max=308 | t_sim.max=7.7e-05 | t_step.max=1.09595 | min_pressure=80.3297 | max_pressure=485.454 | min_temperature=246.06 | max_temperature=460.451 | memory_usage.max=1392.88
step.max=309 | t_sim.max=7.725e-05 | t_step.max=1.09515 | min_pressure=95.0216 | max_pressure=485.446 | min_temperature=280.222 | max_temperature=460.447 | memory_usage.max=1392.88
step.max=310 | t_sim.max=7.75e-05 | t_step.max=1.09612 | min_pressure=85.667 | max_pressure=485.438 | min_temperature=278.15 | max_temperature=460.442 | memory_usage.max=1397
step.max=311 | t_sim.max=7.775e-05 | t_step.max=1.09739 | min_pressure=74.7627 | max_pressure=485.43 | min_temperature=257.598 | max_temperature=460.438 | memory_usage.max=1397
step.max=312 | t_sim.max=7.8e-05 | t_step.max=1.09873 | min_pressure=64.1784 | max_pressure=485.422 | min_temperature=232.334 | max_temperature=460.434 | memory_usage.max=1397
step.max=313 | t_sim.max=7.825e-05 | t_step.max=1.09626 | min_pressure=56.8125 | max_pressure=485.414 | min_temperature=210.442 | max_temperature=460.43 | memory_usage.max=1401.19
step.max=314 | t_sim.max=7.85e-05 | t_step.max=1.09629 | min_pressure=55.7843 | max_pressure=485.406 | min_temperature=202.97 | max_temperature=460.426 | memory_usage.max=1401.19
step.max=315 | t_sim.max=7.875e-05 | t_step.max=1.09589 | min_pressure=63.2993 | max_pressure=485.398 | min_temperature=215.867 | max_temperature=460.422 | memory_usage.max=1401.19
step.max=316 | t_sim.max=7.9e-05 | t_step.max=1.09474 | min_pressure=79.9912 | max_pressure=485.39 | min_temperature=245.215 | max_temperature=460.418 | memory_usage.max=1403.31
step.max=317 | t_sim.max=7.925e-05 | t_step.max=1.09625 | min_pressure=93.3559 | max_pressure=485.382 | min_temperature=281.522 | max_temperature=460.414 | memory_usage.max=1403.31
step.max=318 | t_sim.max=7.95e-05 | t_step.max=1.09608 | min_pressure=83.343 | max_pressure=485.374 | min_temperature=274.691 | max_temperature=460.41 | memory_usage.max=1407.44
step.max=319 | t_sim.max=7.975e-05 | t_step.max=1.09598 | min_pressure=71.7772 | max_pressure=485.366 | min_temperature=251.81 | max_temperature=460.406 | memory_usage.max=1407.44
step.max=320 | t_sim.max=8e-05 | t_step.max=1.09558 | min_pressure=60.7934 | max_pressure=485.358 | min_temperature=224.294 | max_temperature=460.403 | memory_usage.max=1407.44
step.max=321 | t_sim.max=8.025e-05 | t_step.max=1.09785 | min_pressure=53.5888 | max_pressure=485.349 | min_temperature=201.811 | max_temperature=460.399 | memory_usage.max=1411.56
step.max=322 | t_sim.max=8.05e-05 | t_step.max=1.09643 | min_pressure=53.4459 | max_pressure=485.341 | min_temperature=196.508 | max_temperature=460.395 | memory_usage.max=1413.75
step.max=323 | t_sim.max=8.075e-05 | t_step.max=1.09565 | min_pressure=62.4882 | max_pressure=485.333 | min_temperature=213.5 | max_temperature=460.391 | memory_usage.max=1415
step.max=324 | t_sim.max=8.1e-05 | t_step.max=1.0951 | min_pressure=81.1082 | max_pressure=485.325 | min_temperature=246.861 | max_temperature=460.388 | memory_usage.max=1415
step.max=325 | t_sim.max=8.125e-05 | t_step.max=1.09634 | min_pressure=91.3153 | max_pressure=485.317 | min_temperature=284.91 | max_temperature=460.384 | memory_usage.max=1415
step.max=326 | t_sim.max=8.15e-05 | t_step.max=1.09678 | min_pressure=80.5849 | max_pressure=485.308 | min_temperature=270.215 | max_temperature=460.38 | memory_usage.max=1419
step.max=327 | t_sim.max=8.175e-05 | t_step.max=1.09619 | min_pressure=68.4059 | max_pressure=485.3 | min_temperature=244.715 | max_temperature=460.377 | memory_usage.max=1419
step.max=328 | t_sim.max=8.2e-05 | t_step.max=1.09578 | min_pressure=57.2415 | max_pressure=485.292 | min_temperature=215.197 | max_temperature=460.373 | memory_usage.max=1419
step.max=329 | t_sim.max=8.225e-05 | t_step.max=1.09548 | min_pressure=50.5919 | max_pressure=485.284 | min_temperature=193.202 | max_temperature=460.37 | memory_usage.max=1423.12
step.max=330 | t_sim.max=8.25e-05 | t_step.max=1.09592 | min_pressure=51.8221 | max_pressure=485.275 | min_temperature=191.552 | max_temperature=460.366 | memory_usage.max=1423.12
step.max=331 | t_sim.max=8.275e-05 | t_step.max=1.09568 | min_pressure=62.8459 | max_pressure=485.267 | min_temperature=213.607 | max_temperature=460.363 | memory_usage.max=1427.19
step.max=332 | t_sim.max=8.3e-05 | t_step.max=1.09531 | min_pressure=83.7377 | max_pressure=485.259 | min_temperature=251.052 | max_temperature=460.359 | memory_usage.max=1427.19
step.max=333 | t_sim.max=8.325e-05 | t_step.max=1.09619 | min_pressure=88.8641 | max_pressure=485.251 | min_temperature=284.129 | max_temperature=460.356 | memory_usage.max=1430.25
step.max=334 | t_sim.max=8.35e-05 | t_step.max=1.0964 | min_pressure=77.3652 | max_pressure=485.243 | min_temperature=264.528 | max_temperature=460.352 | memory_usage.max=1430.25
step.max=335 | t_sim.max=8.375e-05 | t_step.max=1.09576 | min_pressure=64.6586 | max_pressure=485.234 | min_temperature=236.179 | max_temperature=460.349 | memory_usage.max=1430.25
step.max=336 | t_sim.max=8.4e-05 | t_step.max=1.09579 | min_pressure=53.5932 | max_pressure=485.226 | min_temperature=205.168 | max_temperature=460.346 | memory_usage.max=1434.38
step.max=337 | t_sim.max=8.425e-05 | t_step.max=1.09666 | min_pressure=47.9489 | max_pressure=485.218 | min_temperature=185.074 | max_temperature=460.342 | memory_usage.max=1434.38
step.max=338 | t_sim.max=8.45e-05 | t_step.max=1.09652 | min_pressure=51.0603 | max_pressure=485.21 | min_temperature=188.644 | max_temperature=460.339 | memory_usage.max=1438.5
step.max=339 | t_sim.max=8.475e-05 | t_step.max=1.10246 | min_pressure=64.4931 | max_pressure=485.202 | min_temperature=216.455 | max_temperature=460.336 | memory_usage.max=1438.5
step.max=340 | t_sim.max=8.5e-05 | t_step.max=1.09657 | min_pressure=87.9764 | max_pressure=485.193 | min_temperature=257.781 | max_temperature=460.332 | memory_usage.max=1441.69
step.max=341 | t_sim.max=8.525e-05 | t_step.max=1.0965 | min_pressure=85.9512 | max_pressure=485.185 | min_temperature=279.947 | max_temperature=460.329 | memory_usage.max=1442.25
step.max=342 | t_sim.max=8.55e-05 | t_step.max=1.0954 | min_pressure=73.6626 | max_pressure=485.177 | min_temperature=257.409 | max_temperature=460.326 | memory_usage.max=1442.25
step.max=343 | t_sim.max=8.575e-05 | t_step.max=1.09532 | min_pressure=60.5761 | max_pressure=485.169 | min_temperature=226.131 | max_temperature=460.323 | memory_usage.max=1445.19
step.max=344 | t_sim.max=8.6e-05 | t_step.max=1.09529 | min_pressure=49.9675 | max_pressure=485.161 | min_temperature=194.514 | max_temperature=460.32 | memory_usage.max=1445.19
step.max=345 | t_sim.max=8.625e-05 | t_step.max=1.09492 | min_pressure=45.836 | max_pressure=485.153 | min_temperature=178.068 | max_temperature=460.317 | memory_usage.max=1449.25
step.max=346 | t_sim.max=8.65e-05 | t_step.max=1.09489 | min_pressure=51.3389 | max_pressure=485.144 | min_temperature=188.343 | max_temperature=460.314 | memory_usage.max=1449.25
step.max=347 | t_sim.max=8.675e-05 | t_step.max=1.09493 | min_pressure=67.5579 | max_pressure=485.136 | min_temperature=222.183 | max_temperature=460.311 | memory_usage.max=1449.25
step.max=348 | t_sim.max=8.7e-05 | t_step.max=1.09797 | min_pressure=93.2142 | max_pressure=485.128 | min_temperature=265.773 | max_temperature=460.308 | memory_usage.max=1453.38
step.max=349 | t_sim.max=8.725e-05 | t_step.max=1.09617 | min_pressure=82.5447 | max_pressure=485.12 | min_temperature=274.597 | max_temperature=460.305 | memory_usage.max=1455.62
step.max=350 | t_sim.max=8.75e-05 | t_step.max=1.2278 | min_pressure=69.4858 | max_pressure=485.112 | min_temperature=248.657 | max_temperature=460.302 | memory_usage.max=1455.62
step.max=351 | t_sim.max=8.775e-05 | t_step.max=1.09523 | min_pressure=56.2431 | max_pressure=485.104 | min_temperature=214.63 | max_temperature=460.299 | memory_usage.max=1465.19
step.max=352 | t_sim.max=8.8e-05 | t_step.max=1.09449 | min_pressure=46.5334 | max_pressure=485.095 | min_temperature=183.758 | max_temperature=460.296 | memory_usage.max=1465.19
step.max=353 | t_sim.max=8.825e-05 | t_step.max=1.09462 | min_pressure=44.4673 | max_pressure=485.087 | min_temperature=172.961 | max_temperature=460.293 | memory_usage.max=1465.19
step.max=354 | t_sim.max=8.85e-05 | t_step.max=1.09489 | min_pressure=52.8485 | max_pressure=485.079 | min_temperature=191.126 | max_temperature=460.29 | memory_usage.max=1466
step.max=355 | t_sim.max=8.875e-05 | t_step.max=1.09551 | min_pressure=72.1598 | max_pressure=485.071 | min_temperature=230.74 | max_temperature=460.287 | memory_usage.max=1466
step.max=356 | t_sim.max=8.9e-05 | t_step.max=1.09539 | min_pressure=90.2807 | max_pressure=485.063 | min_temperature=275.501 | max_temperature=460.284 | memory_usage.max=1466
step.max=357 | t_sim.max=8.925e-05 | t_step.max=1.0961 | min_pressure=78.6185 | max_pressure=485.055 | min_temperature=267.813 | max_temperature=460.281 | memory_usage.max=1470.12
step.max=358 | t_sim.max=8.95e-05 | t_step.max=1.09558 | min_pressure=64.8839 | max_pressure=485.047 | min_temperature=238.125 | max_temperature=460.279 | memory_usage.max=1472.31
step.max=359 | t_sim.max=8.975e-05 | t_step.max=1.09528 | min_pressure=51.8143 | max_pressure=485.039 | min_temperature=201.969 | max_temperature=460.276 | memory_usage.max=1473.75
step.max=360 | t_sim.max=9e-05 | t_step.max=1.09559 | min_pressure=43.5339 | max_pressure=485.031 | min_temperature=173.733 | max_temperature=460.273 | memory_usage.max=1473.75
step.max=361 | t_sim.max=9.025e-05 | t_step.max=1.09558 | min_pressure=44.1067 | max_pressure=485.023 | min_temperature=170.648 | max_temperature=460.27 | memory_usage.max=1473.75
step.max=362 | t_sim.max=9.05e-05 | t_step.max=1.09504 | min_pressure=55.7951 | max_pressure=485.014 | min_temperature=197.336 | max_temperature=460.267 | memory_usage.max=1477.69
step.max=363 | t_sim.max=9.075e-05 | t_step.max=1.09589 | min_pressure=78.4959 | max_pressure=485.006 | min_temperature=242.125 | max_temperature=460.265 | memory_usage.max=1477.69
step.max=364 | t_sim.max=9.1e-05 | t_step.max=1.09574 | min_pressure=86.831 | max_pressure=484.998 | min_temperature=281.854 | max_temperature=460.262 | memory_usage.max=1477.69
step.max=365 | t_sim.max=9.125e-05 | t_step.max=1.09597 | min_pressure=74.1533 | max_pressure=484.99 | min_temperature=259.305 | max_temperature=460.259 | memory_usage.max=1477.69
step.max=366 | t_sim.max=9.15e-05 | t_step.max=1.09572 | min_pressure=59.9275 | max_pressure=484.982 | min_temperature=225.746 | max_temperature=460.257 | memory_usage.max=1481.81
step.max=367 | t_sim.max=9.175e-05 | t_step.max=1.09648 | min_pressure=47.4749 | max_pressure=484.974 | min_temperature=188.651 | max_temperature=460.254 | memory_usage.max=1481.81
step.max=368 | t_sim.max=9.2e-05 | t_step.max=1.09566 | min_pressure=41.232 | max_pressure=484.966 | min_temperature=165.429 | max_temperature=460.251 | memory_usage.max=1484.88
step.max=369 | t_sim.max=9.225e-05 | t_step.max=1.09576 | min_pressure=45.0082 | max_pressure=484.958 | min_temperature=171.896 | max_temperature=460.249 | memory_usage.max=1484.88
step.max=370 | t_sim.max=9.25e-05 | t_step.max=1.0963 | min_pressure=60.3485 | max_pressure=484.95 | min_temperature=207.004 | max_temperature=460.246 | memory_usage.max=1484.88
step.max=371 | t_sim.max=9.275e-05 | t_step.max=1.09544 | min_pressure=86.5965 | max_pressure=484.942 | min_temperature=254.885 | max_temperature=460.244 | memory_usage.max=1489
step.max=372 | t_sim.max=9.3e-05 | t_step.max=1.09547 | min_pressure=82.8123 | max_pressure=484.934 | min_temperature=275.598 | max_temperature=460.241 | memory_usage.max=1489
step.max=373 | t_sim.max=9.325e-05 | t_step.max=1.09458 | min_pressure=69.1721 | max_pressure=484.926 | min_temperature=248.807 | max_temperature=460.239 | memory_usage.max=1489
step.max=374 | t_sim.max=9.35e-05 | t_step.max=1.09495 | min_pressure=54.7626 | max_pressure=484.918 | min_temperature=211.686 | max_temperature=460.236 | memory_usage.max=1493.12
step.max=375 | t_sim.max=9.375e-05 | t_step.max=1.10142 | min_pressure=43.4906 | max_pressure=484.91 | min_temperature=175.559 | max_temperature=460.233 | memory_usage.max=1493.12
step.max=376 | t_sim.max=9.4e-05 | t_step.max=1.09577 | min_pressure=39.9417 | max_pressure=484.902 | min_temperature=160.028 | max_temperature=460.231 | memory_usage.max=1497.62
step.max=377 | t_sim.max=9.425e-05 | t_step.max=1.09648 | min_pressure=47.4296 | max_pressure=484.894 | min_temperature=177.28 | max_temperature=460.228 | memory_usage.max=1498
step.max=378 | t_sim.max=9.45e-05 | t_step.max=1.09729 | min_pressure=66.654 | max_pressure=484.886 | min_temperature=219.879 | max_temperature=460.226 | memory_usage.max=1499.94
step.max=379 | t_sim.max=9.475e-05 | t_step.max=1.09701 | min_pressure=90.1826 | max_pressure=484.878 | min_temperature=268.51 | max_temperature=460.224 | memory_usage.max=1499.94
step.max=380 | t_sim.max=9.5e-05 | t_step.max=1.09589 | min_pressure=78.2046 | max_pressure=484.87 | min_temperature=267.601 | max_temperature=460.221 | memory_usage.max=1503.5
step.max=381 | t_sim.max=9.525e-05 | t_step.max=1.09627 | min_pressure=63.7373 | max_pressure=484.862 | min_temperature=236.147 | max_temperature=460.219 | memory_usage.max=1503.5
step.max=382 | t_sim.max=9.55e-05 | t_step.max=1.09609 | min_pressure=49.577 | max_pressure=484.854 | min_temperature=196.363 | max_temperature=460.216 | memory_usage.max=1503.5
step.max=383 | t_sim.max=9.575e-05 | t_step.max=1.09534 | min_pressure=40.1502 | max_pressure=484.846 | min_temperature=163.81 | max_temperature=460.214 | memory_usage.max=1507.62
step.max=384 | t_sim.max=9.6e-05 | t_step.max=1.09736 | min_pressure=39.9599 | max_pressure=484.838 | min_temperature=158.588 | max_temperature=460.211 | memory_usage.max=1507.62
step.max=385 | t_sim.max=9.625e-05 | t_step.max=1.09641 | min_pressure=51.5732 | max_pressure=484.83 | min_temperature=186.936 | max_temperature=460.209 | memory_usage.max=1511.56
step.max=386 | t_sim.max=9.65e-05 | t_step.max=1.09582 | min_pressure=74.852 | max_pressure=484.822 | min_temperature=235.542 | max_temperature=460.207 | memory_usage.max=1511.56
step.max=387 | t_sim.max=9.675e-05 | t_step.max=1.09563 | min_pressure=86.1969 | max_pressure=484.814 | min_temperature=281.243 | max_temperature=460.204 | memory_usage.max=1513.94
step.max=388 | t_sim.max=9.7e-05 | t_step.max=1.09514 | min_pressure=73.0047 | max_pressure=484.806 | min_temperature=257.498 | max_temperature=460.202 | memory_usage.max=1513.94
step.max=389 | t_sim.max=9.725e-05 | t_step.max=1.09519 | min_pressure=57.9854 | max_pressure=484.798 | min_temperature=221.351 | max_temperature=460.2 | memory_usage.max=1513.94
step.max=390 | t_sim.max=9.75e-05 | t_step.max=1.09531 | min_pressure=44.6607 | max_pressure=484.79 | min_temperature=180.661 | max_temperature=460.197 | memory_usage.max=1518.06
step.max=391 | t_sim.max=9.775e-05 | t_step.max=1.09521 | min_pressure=37.8234 | max_pressure=484.782 | min_temperature=154.88 | max_temperature=460.195 | memory_usage.max=1518.06
step.max=392 | t_sim.max=9.8e-05 | t_step.max=1.09611 | min_pressure=41.6064 | max_pressure=484.774 | min_temperature=162.025 | max_temperature=460.193 | memory_usage.max=1522.19
step.max=393 | t_sim.max=9.825e-05 | t_step.max=1.09575 | min_pressure=57.6213 | max_pressure=484.766 | min_temperature=200.64 | max_temperature=460.19 | memory_usage.max=1522.19
step.max=394 | t_sim.max=9.85e-05 | t_step.max=1.09717 | min_pressure=85.0273 | max_pressure=484.758 | min_temperature=251.942 | max_temperature=460.188 | memory_usage.max=1522.19
step.max=395 | t_sim.max=9.875e-05 | t_step.max=1.09589 | min_pressure=81.5546 | max_pressure=484.75 | min_temperature=273.833 | max_temperature=460.186 | memory_usage.max=1526
step.max=396 | t_sim.max=9.9e-05 | t_step.max=1.11204 | min_pressure=67.2565 | max_pressure=484.742 | min_temperature=244.991 | max_temperature=460.184 | memory_usage.max=1526.06
step.max=397 | t_sim.max=9.925e-05 | t_step.max=1.09552 | min_pressure=52.1157 | max_pressure=484.734 | min_temperature=204.75 | max_temperature=460.181 | memory_usage.max=1529.5
step.max=398 | t_sim.max=9.95e-05 | t_step.max=1.09612 | min_pressure=40.3507 | max_pressure=484.726 | min_temperature=165.851 | max_temperature=460.179 | memory_usage.max=1529.5
step.max=399 | t_sim.max=9.975e-05 | t_step.max=1.09547 | min_pressure=36.8771 | max_pressure=484.718 | min_temperature=150.234 | max_temperature=460.177 | memory_usage.max=1532.5
step.max=400 | t_sim.max=0.0001 | t_step.max=1.21493 | min_pressure=45.141 | max_pressure=484.71 | min_temperature=170.726 | max_temperature=460.175 | memory_usage.max=1532.5
step.max=401 | t_sim.max=0.00010025 | t_step.max=1.09619 | min_pressure=65.6807 | max_pressure=484.702 | min_temperature=217.71 | max_temperature=460.173 | memory_usage.max=1541.94
step.max=402 | t_sim.max=0.0001005 | t_step.max=1.09663 | min_pressure=88.8486 | max_pressure=484.695 | min_temperature=269.051 | max_temperature=460.17 | memory_usage.max=1541.94
step.max=403 | t_sim.max=0.00010075 | t_step.max=1.09538 | min_pressure=76.2488 | max_pressure=484.687 | min_temperature=264.267 | max_temperature=460.168 | memory_usage.max=1542.94
step.max=404 | t_sim.max=0.000101 | t_step.max=1.09528 | min_pressure=61.0698 | max_pressure=484.679 | min_temperature=229.957 | max_temperature=460.166 | memory_usage.max=1543
step.max=405 | t_sim.max=0.00010125 | t_step.max=1.09502 | min_pressure=46.3963 | max_pressure=484.671 | min_temperature=187.082 | max_temperature=460.164 | memory_usage.max=1545.25
step.max=406 | t_sim.max=0.0001015 | t_step.max=1.09517 | min_pressure=37.0162 | max_pressure=484.663 | min_temperature=153.508 | max_temperature=460.162 | memory_usage.max=1545.25
step.max=407 | t_sim.max=0.00010175 | t_step.max=1.09633 | min_pressure=37.6448 | max_pressure=484.655 | min_temperature=151.037 | max_temperature=460.16 | memory_usage.max=1545.31
step.max=408 | t_sim.max=0.000102 | t_step.max=1.09553 | min_pressure=50.7417 | max_pressure=484.647 | min_temperature=184.431 | max_temperature=460.157 | memory_usage.max=1549.38
step.max=409 | t_sim.max=0.00010225 | t_step.max=1.09524 | min_pressure=75.8696 | max_pressure=484.639 | min_temperature=237.393 | max_temperature=460.155 | memory_usage.max=1549.38
step.max=410 | t_sim.max=0.0001025 | t_step.max=1.09529 | min_pressure=84.2539 | max_pressure=484.631 | min_temperature=278.463 | max_temperature=460.153 | memory_usage.max=1549.44
step.max=411 | t_sim.max=0.00010275 | t_step.max=1.09532 | min_pressure=70.3082 | max_pressure=484.624 | min_temperature=252.139 | max_temperature=460.151 | memory_usage.max=1553.56
step.max=412 | t_sim.max=0.000103 | t_step.max=1.09568 | min_pressure=54.6545 | max_pressure=484.616 | min_temperature=212.609 | max_temperature=460.149 | memory_usage.max=1553.56
step.max=413 | t_sim.max=0.00010325 | t_step.max=1.09566 | min_pressure=41.2122 | max_pressure=484.608 | min_temperature=169.706 | max_temperature=460.147 | memory_usage.max=1553.56
step.max=414 | t_sim.max=0.0001035 | t_step.max=1.09564 | min_pressure=35.098 | max_pressure=484.6 | min_temperature=145.508 | max_temperature=460.145 | memory_usage.max=1556.81
step.max=415 | t_sim.max=0.00010375 | t_step.max=1.09574 | min_pressure=40.4532 | max_pressure=484.592 | min_temperature=158.038 | max_temperature=460.143 | memory_usage.max=1556.81
step.max=416 | t_sim.max=0.000104 | t_step.max=1.09579 | min_pressure=58.5426 | max_pressure=484.584 | min_temperature=202.399 | max_temperature=460.141 | memory_usage.max=1556.81
step.max=417 | t_sim.max=0.00010425 | t_step.max=1.09537 | min_pressure=88.2493 | max_pressure=484.577 | min_temperature=256.15 | max_temperature=460.139 | memory_usage.max=1560.81
step.max=418 | t_sim.max=0.0001045 | t_step.max=1.09622 | min_pressure=78.9182 | max_pressure=484.569 | min_temperature=269.443 | max_temperature=460.137 | memory_usage.max=1560.81
step.max=419 | t_sim.max=0.00010475 | t_step.max=1.09637 | min_pressure=63.8269 | max_pressure=484.561 | min_temperature=237.192 | max_temperature=460.135 | memory_usage.max=1560.81
step.max=420 | t_sim.max=0.000105 | t_step.max=1.09637 | min_pressure=48.2966 | max_pressure=484.553 | min_temperature=193.616 | max_temperature=460.133 | memory_usage.max=1564.94
step.max=421 | t_sim.max=0.00010525 | t_step.max=1.09675 | min_pressure=36.9874 | max_pressure=484.545 | min_temperature=154.422 | max_temperature=460.13 | memory_usage.max=1564.94
step.max=422 | t_sim.max=0.0001055 | t_step.max=1.09683 | min_pressure=35.0001 | max_pressure=484.537 | min_temperature=143.468 | max_temperature=460.128 | memory_usage.max=1568.19
step.max=423 | t_sim.max=0.00010575 | t_step.max=1.09692 | min_pressure=45.5252 | max_pressure=484.53 | min_temperature=171.144 | max_temperature=460.126 | memory_usage.max=1569.69
step.max=424 | t_sim.max=0.000106 | t_step.max=1.09668 | min_pressure=68.5798 | max_pressure=484.522 | min_temperature=223.417 | max_temperature=460.124 | memory_usage.max=1569.69
